Pointer,SSC,HSC,Technical,Verbal,Aptitude
9.75,65.8,66.1,4.4,7.1,5.8
9.88,80.81,70.92,2.5,2.6,2.6
6.74,75.69,73.58,3.5,4.2,3.8
8.65,96.59,81.27,4.2,3.0,3.6
8.54,83.67,88.96,5.1,3.2,4.2
8.77,71.57,71.3,3.8,2.7,3.2
8.08,66.44,85.09,3.9,4.3,4.1
7.17,65.04,78.26,6.0,4.1,5.0
8.04,71.23,64.89,3.6,4.7,4.2
6.72,78.36,67.21,3.7,5.8,4.8
8.87,74.57,70.76,5.4,5.4,5.4
7.9,62.11,74.79,2.1,4.9,3.5
7.14,95.33,66.02,1.0,5.2,3.1
9.47,69.67,60.4,3.2,4.0,3.6
9.23,97.81,81.04,3.4,3.5,3.4
8.16,73.84,66.79,5.1,3.3,4.2
6.92,79.96,74.92,4.7,6.9,5.8
9.62,70.57,66.64,3.8,5.3,4.6
9.43,61.72,76.44,1.7,5.8,3.8
6.98,67.92,80.59,3.6,4.6,4.1
7.19,62.66,84.49,3.8,5.6,4.7
8.65,72.85,92.13,4.0,4.4,4.2
6.57,82.55,65.29,4.2,5.6,4.9
8.57,79.65,63.75,2.8,6.7,4.8
9.59,65.61,69.4,3.4,4.7,4.0
8.58,73.81,81.43,2.6,4.7,3.6
6.53,65.94,79.21,4.0,5.9,5.0
8.01,94.3,86.55,5.9,5.8,5.8
9.08,64.91,66.54,3.3,3.3,3.3
9.52,84.09,84.15,3.5,5.0,4.2
7.23,84.18,75.59,4.4,6.0,5.2
7.21,93.48,66.39,3.2,5.9,4.6
8.96,90.87,73.17,4.3,4.5,4.4
8.19,96.84,62.85,2.6,3.8,3.2
7.73,68.98,69.47,1.2,5.7,3.4
8.03,68.85,69.31,5.9,6.0,6.0
