Pointer,SSC,HSC,Technical,Verbal,Aptitude
8.13,92.07,91.89,6.1,10.0,8.0
7.47,98.02,98.8,5.3,7.9,6.6
8.03,82.74,70.15,6.6,7.6,7.1
6.88,82.75,91.02,4.9,10.0,7.4
7.07,96.66,87.78,4.7,8.4,6.6
9.75,76.68,91.21,4.8,7.4,6.1
8.81,77.53,93.94,6.0,8.8,7.4
9.77,97.49,72.95,4.5,8.3,6.4
8.01,77.68,81.24,4.9,8.8,6.8
7.13,71.26,76.94,4.8,9.5,7.2
8.23,78.92,73.45,6.8,9.2,8.0
6.85,83.03,76.41,5.9,10.0,8.0
7.96,87.83,89.66,5.1,9.1,7.1
9.83,94.59,95.95,5.1,8.4,6.8
7.39,75.45,88.83,4.8,9.1,7.0
6.58,81.9,72.33,5.9,8.9,7.4
9.05,91.68,94.38,3.8,9.6,6.7
9.56,93.55,87.95,5.3,7.6,6.4
9.67,88.59,73.84,7.1,9.2,8.1
7.18,78.23,75.12,4.3,8.1,6.2
9.4,72.11,81.92,4.7,10.0,7.4
8.71,85.13,75.92,4.5,8.1,6.3
7.33,86.08,77.87,4.7,5.8,5.2
6.98,96.8,83.78,5.0,7.6,6.3
9.85,86.84,81.16,6.2,10.0,8.1
9.35,88.07,71.46,3.1,9.3,6.2
7.67,82.9,87.88,4.9,9.7,7.3
7.94,75.04,77.62,7.2,9.0,8.1
7.47,81.33,76.1,5.3,8.4,6.8
7.37,82.29,95.55,5.8,8.7,7.2
7.07,70.38,98.54,2.3,10.0,6.2
7.23,75.03,90.54,5.4,9.6,7.5
7.31,75.92,88.25,5.0,10.0,7.5
9.75,87.69,79.79,5.9,9.0,7.4
6.52,72.07,77.3,6.1,8.8,7.4
9.59,96.17,88.46,6.3,9.1,7.7
8.06,76.63,96.78,5.3,8.7,7.0
8.86,85.41,89.45,3.9,8.0,6.0
6.77,78.71,73.68,4.1,8.8,6.4
9.21,73.28,70.64,5.1,8.2,6.6
9.53,79.55,70.9,4.4,9.2,6.8
9.61,95.39,76.84,5.2,10.0,7.6
7.22,97.32,87.33,4.2,7.7,6.0
8.03,72.47,73.37,4.8,9.8,7.3
9.1,88.01,79.03,3.6,9.9,6.8
8.27,84.73,88.31,4.6,8.1,6.4
9.0,87.11,71.24,5.7,7.6,6.6
7.94,91.45,72.41,4.6,8.9,6.8
9.56,80.13,85.56,4.1,8.8,6.4
7.8,96.88,94.46,5.4,8.7,7.0
7.99,84.44,85.13,4.1,8.0,6.0
8.38,77.51,80.76,5.7,8.5,7.1
7.3,91.27,94.76,5.9,7.6,6.8
8.84,77.07,87.3,4.2,8.7,6.4
8.4,77.82,95.17,6.2,7.9,7.0
7.15,76.19,87.65,4.1,8.5,6.3
9.83,93.7,86.38,6.7,9.2,8.0
8.12,76.41,70.19,5.6,9.3,7.4
7.5,83.03,87.72,5.8,9.3,7.6
7.46,70.1,77.65,5.3,9.2,7.2
7.55,84.62,78.41,4.0,9.2,6.6
7.13,88.24,98.22,5.9,9.4,7.6
7.33,72.36,82.02,4.8,10.0,7.4
7.68,71.27,78.44,3.7,8.7,6.2
9.25,80.37,73.79,4.9,7.9,6.4
7.35,81.51,79.77,5.0,8.2,6.6
8.15,72.92,84.69,4.7,9.5,7.1
7.88,75.13,87.09,4.1,10.0,7.0
8.06,78.5,86.99,4.8,8.9,6.8
6.89,72.3,76.43,5.5,7.6,6.6
6.69,91.93,76.22,5.1,8.1,6.6
7.18,92.76,84.37,4.7,7.3,6.0
8.42,94.81,71.67,3.7,7.5,5.6
8.52,70.4,94.7,6.0,9.5,7.8
8.24,83.22,77.34,7.8,8.8,8.3
9.0,84.84,96.46,5.3,9.4,7.4
8.33,80.45,88.5,5.2,8.8,7.0
8.31,87.06,77.11,4.0,9.4,6.7
9.94,97.81,77.07,3.9,9.2,6.6
9.61,70.1,88.09,5.7,8.9,7.3
6.75,96.32,90.84,5.6,8.9,7.2
7.75,78.81,96.66,1.5,9.4,5.4
7.93,74.69,72.91,4.4,10.0,7.2
7.9,90.15,82.04,4.2,9.6,6.9
7.14,98.03,89.07,4.6,7.7,6.2
7.84,98.09,82.39,5.0,8.6,6.8
6.57,85.83,78.9,6.5,7.9,7.2
6.71,95.44,73.88,6.2,8.0,7.1
7.32,72.65,94.26,3.9,7.8,5.8
8.61,75.72,76.31,5.5,9.2,7.4
9.63,75.61,98.01,4.7,8.2,6.4
7.2,74.33,73.88,4.8,9.5,7.2
9.05,79.24,81.11,6.3,9.7,8.0
9.95,84.91,78.77,3.5,8.9,6.2
9.34,96.42,95.1,5.0,9.3,7.2
9.33,88.79,91.1,5.8,8.6,7.2
7.28,73.72,89.65,3.4,10.0,6.7
7.85,82.29,95.95,5.9,9.8,7.8
8.53,81.26,86.78,3.7,8.6,6.2
8.13,89.16,73.15,6.6,10.0,8.3
7.73,79.03,88.75,5.6,10.0,7.8
7.45,72.93,87.71,3.5,9.0,6.2
8.0,86.88,88.4,4.8,8.5,6.6
7.38,89.89,74.54,4.7,7.6,6.2
6.52,98.51,82.06,4.0,8.0,6.0
9.21,86.12,95.66,4.5,9.5,7.0
7.12,82.06,74.37,5.5,8.2,6.8
9.95,75.46,89.24,6.9,7.9,7.4
8.54,70.73,74.42,7.3,8.5,7.9
6.95,75.43,97.97,3.9,9.4,6.6
8.47,85.49,84.2,5.1,8.2,6.6
6.64,97.77,91.32,6.9,8.4,7.6
8.78,86.72,89.45,5.5,8.3,6.9
8.83,91.55,84.38,5.3,8.7,7.0
7.41,76.11,83.68,4.1,10.0,7.0
8.72,96.88,80.38,3.8,9.4,6.6
7.98,78.0,74.84,4.5,7.5,6.0
9.87,94.38,82.61,4.5,9.3,6.9
7.23,70.22,88.11,5.0,9.8,7.4
8.19,73.86,93.38,3.8,8.8,6.3
8.87,78.22,95.92,3.4,8.7,6.0
6.54,72.86,79.79,5.0,8.2,6.6
8.15,83.21,97.53,4.8,8.2,6.5
7.88,90.32,77.64,5.8,10.0,7.9
8.06,92.83,91.3,6.2,10.0,8.1
6.89,79.03,93.54,6.5,9.1,7.8
6.69,70.51,95.79,3.8,10.0,6.9
7.18,75.55,81.15,3.4,9.5,6.4
8.42,94.95,87.25,5.6,7.6,6.6
6.9,90.42,97.69,4.4,8.8,6.6
7.6,71.31,93.32,3.7,8.5,6.1
8.53,95.67,83.17,4.0,9.5,6.8
9.06,87.84,74.23,5.8,9.3,7.6
9.95,95.45,71.32,5.2,8.1,6.6
8.18,85.13,71.97,4.4,9.1,6.8
9.53,81.22,91.06,4.6,10.0,7.3
8.54,96.2,81.3,5.2,9.1,7.2
9.63,93.82,95.77,4.2,8.1,6.2
8.68,73.92,94.65,4.1,9.0,6.6
8.76,95.88,93.45,4.4,7.8,6.1
8.35,93.01,80.75,4.4,7.8,6.1
7.43,78.86,70.32,3.8,10.0,6.9
7.78,77.3,85.84,5.5,8.9,7.2
8.75,94.3,72.02,4.4,8.7,6.6
9.36,81.23,84.26,5.1,9.3,7.2
