Pointer,SSC,HSC,Technical,Verbal,Aptitude
9.1,79.11,82.0,8.2,6.3,7.2
8.21,90.51,89.6,8.9,5.0,7.0
8.45,99.37,87.42,10.0,5.9,8.0
9.34,91.61,84.33,10.0,6.2,8.1
8.19,99.15,93.09,9.6,6.1,7.8
7.57,86.54,81.51,9.1,6.3,7.7
8.86,80.86,90.29,8.3,8.1,8.2
8.34,78.59,94.99,10.0,4.1,7.0
7.94,91.35,96.61,8.0,7.6,7.8
8.19,76.22,75.67,8.9,7.8,8.4
9.44,76.11,84.09,9.0,3.6,6.3
7.46,94.37,95.98,7.8,5.9,6.8
7.82,87.49,83.31,8.2,7.5,7.8
7.68,94.05,81.86,9.9,5.9,7.9
9.47,92.65,90.45,9.3,5.6,7.4
9.58,79.89,95.43,8.0,6.4,7.2
7.3,75.07,80.09,8.3,7.4,7.8
9.62,91.64,78.42,10.0,7.7,8.8
7.13,98.66,85.59,8.3,7.7,8.0
9.15,84.72,82.87,9.3,7.9,8.6
9.68,88.41,90.96,9.6,5.6,7.6
9.37,76.4,86.86,9.3,6.8,8.0
8.43,88.26,88.65,9.9,5.7,7.8
7.2,81.61,84.56,8.7,4.8,6.8
9.31,80.2,85.22,9.3,6.8,8.0
7.6,94.13,82.81,8.1,7.0,7.6
8.4,88.11,89.93,10.0,6.9,8.4
7.7,83.54,89.24,9.1,4.8,7.0
8.19,77.8,83.99,7.6,6.0,6.8
7.95,92.82,79.36,8.2,6.7,7.4
9.73,80.7,91.23,10.0,6.8,8.4
8.3,81.45,84.23,7.3,6.5,6.9
7.76,75.66,94.84,8.2,6.2,7.2
7.43,86.35,77.23,8.8,7.2,8.0
7.12,79.67,82.61,9.8,9.3,9.6
9.18,76.91,90.59,9.6,5.9,7.8
8.56,75.92,81.59,8.2,5.2,6.7
7.71,97.35,81.47,10.0,7.2,8.6
9.36,94.97,80.94,8.6,6.9,7.8
7.94,89.75,96.29,8.8,5.3,7.0
7.45,86.0,76.6,9.1,8.3,8.7
9.01,83.48,86.14,9.3,6.7,8.0
9.5,79.34,92.1,9.2,5.2,7.2
7.36,86.47,92.78,9.6,6.1,7.8
7.2,88.52,83.5,10.0,7.9,9.0
7.79,98.55,85.65,8.5,6.8,7.6
9.03,99.08,87.78,10.0,7.8,8.9
7.69,87.83,84.03,8.2,7.4,7.8
9.19,94.61,92.08,8.8,6.7,7.8
9.15,84.17,93.16,10.0,8.0,9.0
9.66,78.75,90.99,8.9,6.4,7.6
7.5,80.13,84.88,7.7,4.4,6.1
9.81,86.09,92.36,9.1,8.3,8.7
8.86,87.23,79.69,9.5,7.4,8.4
7.18,81.28,80.55,8.8,7.0,7.9
9.49,76.86,95.29,10.0,7.6,8.8
9.26,84.14,88.57,8.6,6.9,7.8
9.43,82.48,84.39,9.4,5.7,7.6
9.69,99.84,76.14,9.0,7.1,8.0
9.03,97.1,87.35,10.0,7.1,8.6
9.24,91.03,87.93,7.9,7.5,7.7
9.33,80.39,85.11,9.7,5.9,7.8
8.24,84.81,75.95,8.4,4.8,6.6
7.98,77.97,90.88,9.2,7.7,8.4
8.54,95.49,85.87,9.1,5.7,7.4
8.37,80.93,88.36,8.8,5.2,7.0
8.51,93.47,82.78,9.0,7.0,8.0
7.62,98.43,88.5,8.2,5.5,6.8
7.13,95.89,90.66,8.3,5.3,6.8
9.51,90.77,82.2,9.6,7.6,8.6
9.39,77.92,95.15,8.7,7.4,8.0
8.65,84.94,91.3,10.0,7.5,8.8
7.94,81.97,92.04,9.1,6.4,7.8
7.99,99.23,86.27,9.0,6.0,7.5
7.52,76.1,95.02,8.9,3.7,6.3
7.88,83.17,78.03,8.4,7.2,7.8
7.7,96.92,81.08,8.7,7.3,8.0
9.89,75.38,93.08,9.8,6.4,8.1
7.77,94.57,96.31,8.8,8.2,8.5
9.49,99.85,85.47,8.4,5.0,6.7
8.41,82.67,91.46,8.9,6.2,7.6
8.08,95.09,85.25,8.6,8.2,8.4
7.83,93.61,85.56,7.7,7.1,7.4
8.81,94.32,96.77,8.8,6.6,7.7
9.01,87.87,82.6,9.2,3.7,6.4
8.12,78.72,89.78,9.9,6.4,8.2
7.79,78.57,80.01,9.0,6.3,7.6
8.34,80.17,75.49,8.4,5.1,6.8
7.47,92.04,95.16,9.8,7.8,8.8
7.18,95.45,77.94,8.9,7.5,8.2
9.11,99.48,84.37,10.0,6.7,8.4
7.98,92.66,92.93,7.5,6.2,6.8
7.17,84.66,85.19,9.6,5.7,7.6
9.02,86.6,80.31,9.6,6.3,8.0
7.33,79.24,92.3,8.9,4.9,6.9
8.23,75.6,88.56,9.2,6.2,7.7
7.75,78.34,79.45,7.7,7.0,7.4
8.05,79.56,78.86,8.1,7.9,8.0
7.4,98.36,94.61,8.5,6.8,7.6
7.51,88.27,94.12,7.1,6.7,6.9
9.38,99.48,88.48,8.4,8.7,8.6
9.4,79.79,85.16,10.0,6.3,8.2
9.2,87.48,94.45,8.9,5.6,7.2
7.75,93.66,86.2,8.4,6.1,7.2
7.38,87.6,95.53,10.0,5.2,7.6
9.43,90.9,83.99,10.0,6.8,8.4
8.82,87.14,84.06,10.0,6.5,8.2
8.77,96.71,79.38,8.0,6.5,7.2
9.43,96.59,95.67,9.2,8.1,8.6
8.96,78.6,91.6,10.0,6.8,8.4
9.57,96.03,89.82,9.8,6.5,8.2
8.86,89.48,80.83,8.8,5.9,7.4
8.95,76.01,91.32,8.9,6.0,7.4
7.44,81.97,96.91,10.0,5.9,8.0
9.73,83.58,92.12,9.3,5.8,7.6
7.71,97.06,90.55,7.0,6.4,6.7
7.63,89.91,88.93,7.3,8.1,7.7
8.69,90.77,89.21,10.0,5.8,7.9
7.94,80.07,78.29,9.9,5.2,7.6
7.46,85.94,89.88,9.6,5.1,7.4
7.74,78.03,78.04,10.0,7.8,8.9
9.34,78.47,80.15,8.6,8.5,8.6
9.23,90.01,96.48,10.0,5.3,7.6
9.13,75.55,96.76,9.9,6.2,8.0
7.51,89.31,89.95,7.8,5.6,6.7
9.12,89.44,83.01,9.5,4.3,6.9
9.56,78.56,95.98,8.6,6.7,7.6
9.21,88.23,77.15,8.5,8.6,8.6
7.75,98.64,96.6,9.4,7.3,8.4
9.8,84.64,77.61,9.7,7.8,8.8
8.9,83.21,92.04,7.8,7.7,7.8
7.28,89.03,85.46,9.6,6.8,8.2
9.2,79.8,86.3,10.0,7.6,8.8
9.01,89.82,76.98,9.8,7.6,8.7
8.13,92.44,78.26,8.2,5.0,6.6
8.05,87.23,76.45,8.5,6.0,7.2
9.33,93.72,80.75,10.0,7.0,8.5
9.58,89.09,77.7,9.3,5.1,7.2
7.46,92.19,92.93,8.7,6.6,7.6
9.52,91.37,93.65,10.0,8.0,9.0
8.69,90.29,89.13,9.2,8.6,8.9
8.76,78.46,94.05,10.0,6.5,8.2
8.2,80.87,91.7,9.0,8.8,8.9
7.39,90.58,75.45,10.0,6.7,8.4
8.54,87.51,81.33,9.6,6.5,8.0
7.28,95.07,82.19,10.0,5.3,7.6
7.9,98.24,85.0,8.8,5.6,7.2
7.82,93.8,84.52,9.5,6.4,8.0
7.45,79.54,91.64,9.6,6.3,8.0
8.56,92.06,90.79,9.0,5.8,7.4
7.4,95.89,79.51,9.4,5.5,7.4
7.14,94.08,75.63,8.3,9.6,9.0
9.19,95.47,84.56,9.1,6.4,7.8
8.11,87.45,82.06,8.5,5.1,6.8
7.15,93.82,91.7,9.6,5.8,7.7
7.29,87.39,78.5,9.6,7.9,8.8
7.94,76.24,82.36,9.7,6.2,8.0
8.58,95.62,87.16,8.8,8.4,8.6
7.16,85.11,90.55,8.5,5.4,7.0
8.61,93.62,88.91,8.1,6.5,7.3
